,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
1049,Jin ling shi san chai,"Drama, History, Romance",7.5,"An American finds refuge during the 1937 Japanese invasion of Nanking in a church with a group of women. Posing as a priest, he attempts to lead the women to safety.",Yimou Zhang,54131,$0.01M,Rain,Spring
1050,The Innocents,Horror,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.,Jack Clayton,31574,$2.62M,Rain,Autumn
1051,Black Water,"Action, Adventure, Drama",5.8,A terrifying tale of survival in the mangrove swamps of Northern Australia,David Nerlich,15441,0,Rain,Autumn
1052,An American Werewolf in Paris,"Comedy, Fantasy, Horror",5.1,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.,Anthony Waller,26053,$26.57M,Rain,Autumn
1053,Sátántangó,Drama,8.2,"On the eve of a large payment, residents of a collapsing collective farm see their plans turn into desolation when they discover that Irimiás, a former co-worker who they thought was dead, is returning to the community.",Béla Tarr,11812,0,Rain,Autumn
1054,Ghost Story,"Drama, Horror, Thriller",6.3,"Two generations of men find themselves haunted by the presence of a spectral woman. When the son of one of the elderly men returns to his hometown after his brother's mysterious death, they attempt to unravel her story.",John Irvin,9068,$23.37M,Rain,Autumn
1055,A Nightmare on Elm Street 4: The Dream Master,Horror,5.6,"Freddy Krueger returns once again to terrorize the dreams of the remaining Dream Warriors, as well as those of a young woman who may be able to defeat him for good.",Renny Harlin,58402,$49.37M,Rain,Spring
1056,The Stepford Wives,"Horror, Mystery, Sci-Fi",6.9,"Joanna Eberhart has come to the quaint little town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents.",Bryan Forbes,18653,$8.72M,Rain,Autumn
1057,Autómata,"Action, Drama, Sci-Fi",6.0,Human race is at edge of the end. Robot race is at edge of the beginning.,Gabe Ibáñez,57953,0,Rain,Autumn
1058,The Station Agent,"Comedy, Drama",7.6,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,71761,$5.74M,Rain,Autumn
1059,Darker Than Black: Kuro no keiyakusha,"Animation, Action, Drama",7.7,"In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ...                See full summary »",Jason Liebrecht,12120,0,Rain,Spring
1060,Private Benjamin,"Comedy, War",6.2,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.,Howard Zieff,27455,$69.85M,Rain,Autumn
1061,La battaglia di Algeri,"Drama, War",8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,62299,$0.06M,Rain,Autumn
1062,24 Hour Party People,"Biography, Comedy, Drama",7.3,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",Michael Winterbottom,38418,$1.13M,Rain,Autumn
1063,The Zero Theorem,"Comedy, Drama, Fantasy",6.0,"A hugely talented but socially isolated computer operator is tasked by Management to prove the Zero Theorem: that the universe ends as nothing, rendering life meaningless. But meaning is what he already craves.",Terry Gilliam,48555,$0.22M,Rain,Autumn
1064,You Can Count on Me,Drama,7.5,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",Kenneth Lonergan,30608,$9.18M,Rain,Autumn
1065,Halloween: The Curse of Michael Myers,"Horror, Thriller",4.7,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",Joe Chappelle,39565,$15.12M,Rain,Spring
1066,Jonathan Strange & Mr Norrell,"Fantasy, War",8.1,"In an alternate history, during the time of real life Napoleonic Wars, two men of destiny, the gifted recluse Mr. Norrell and daring spellcasting novice Jonathan Strange, use magic to help England.",Bertie Carvel,13394,0,Rain,Autumn
1067,The General,"Action, Adventure, Comedy",8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",Clyde Bruckman,93708,$1.03M,Rain,Autumn
1068,Anna and the King,"Drama, History, Romance",6.7,"The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s.",Andy Tennant,38062,$39.26M,Rain,Autumn
1069,Greedy,Comedy,6.3,"Rich, old uncle Joe is surrounded by relatives waiting/hoping for him to die while trying to look good and backstabbing the competition. What should he do?",Jonathan Lynn,15554,$13.15M,Rain,Spring
1070,The Brothers Bloom,"Action, Adventure, Comedy",6.7,"The Brothers Bloom are the best con men in the world, swindling millionaires with complex scenarios of lust and intrigue. Now they've decided to take on one last job - showing a beautiful and eccentric heiress the time of her life with a romantic adventure that takes them around the world.",Rian Johnson,51690,$3.52M,Rain,Autumn
1071,Le scaphandre et le papillon,"Biography, Drama",8.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Julian Schnabel,108848,$5.99M,Rain,Autumn
1072,Yi yi,"Drama, Romance",8.1,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,Edward Yang,26146,$1.14M,Rain,Autumn
1073,Yi dai zong shi,"Action, Biography, Drama",6.5,"The story of martial-arts master Ip Man, the man who trained Bruce Lee.",Kar-Wai Wong,35479,$6.59M,Rain,Spring
1074,Highlander II: The Quickening,"Action, Adventure, Fantasy",4.2,"In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.",Russell Mulcahy,46918,$15.56M,Rain,Autumn
1075,The Survivalist,"Drama, Sci-Fi, Thriller",6.4,"In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened.",Stephen Fingleton,17978,0,Rain,Spring
1076,Kaidan,"Drama, Fantasy, Horror",7.9,A collection of four Japanese folk tales with supernatural themes.,Masaki Kobayashi,18711,0,Rain,Spring
1077,The Proposition,"Crime, Drama, Western",7.3,"A lawman apprehends a notorious outlaw and gives him nine days to kill his older brother, or else they'll execute his younger brother.",John Hillcoat,53785,$1.90M,Rain,Spring
1078,The Man in the Moon,"Drama, Romance",7.3,A coming of age story set in the south of the U.S. when Elvis was King.,Robert Mulligan,17490,$2.85M,Rain,Spring
1079,Johnny Got His Gun,"Drama, War",7.8,"During World War I, a patriotic young American is rendered blind, deaf, limbless, and mute by a horrific artillery shell attack. Trapped in what's left of his body, he desperately looks for a way to end his life.",Dalton Trumbo,17536,$0.55M,Rain,Autumn
1080,Halloween 4: The Return of Michael Myers,"Horror, Thriller",5.8,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",Dwight H. Little,55482,$17.77M,Rain,Spring
1081,Friday the 13th Part VIII: Jason Takes Manhattan,"Adventure, Horror, Thriller",4.5,"Jason Voorhees is accidentally awakened from his watery grave, and he ends up stalking a ship full of graduating high school students headed to Manhattan, NY.",Rob Hedden,40209,$14.34M,Rain,Autumn
1082,Andrei Rublev,"Biography, Drama, History",8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,55133,$0.10M,Rain,Spring
1083,The Sand Pebbles,"Adventure, Drama, Romance",7.5,"In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.",Robert Wise,15654,0,Rain,Spring
1084,Le salaire de la peur,"Adventure, Drama, Thriller",8.2,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,63051,0,Rain,Spring
1085,Summer Catch,"Comedy, Drama, Romance",5.0,A rich girl whose family summers on Cape Cod has a romance with a local poor boy who hopes to become a major league baseball player.,Michael Tollin,16320,$19.69M,Rain,Spring
1086,All I See Is You,Drama,5.4,A blind woman's relationship with her husband changes when she regains her sight and discovers disturbing details about themselves.,Marc Forster,12568,$0.22M,Rain,Autumn
1087,Le cercle rouge,"Crime, Drama, Thriller",7.9,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",Jean-Pierre Melville,26513,$0.37M,Rain,Spring
1088,Persepolis,"Animation, Biography, Drama",8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Vincent Paronnaud,96987,$4.45M,Rain,Autumn
1089,Deception,"Crime, Drama, Mystery",6.0,"An accountant is introduced to a mysterious sex club known as The List by his lawyer friend. But in this new world, he soon becomes the prime suspect in a woman's disappearance and a multi-million dollar heist.",Marcel Langenegger,40159,$4.60M,Rain,Spring
1090,When the Lights Went Out,Horror,5.3,Poltergeists attack a family in Yorkshire during the 1974 nationwide blackouts.,Pat Holden,5040,0,Rain,Spring
1091,Blindness,"Drama, Mystery, Thriller",6.5,A city is ravaged by an epidemic of instant white blindness.,Fernando Meirelles,73961,$3.07M,Rain,Spring
1092,Elizabethtown,"Comedy, Drama, Romance",6.3,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Cameron Crowe,71393,$26.84M,Rain,Autumn
1093,Orlando,"Biography, Drama, Fantasy",7.1,"After Queen Elizabeth I commands him not to grow old, a young nobleman struggles with love and his place in the world.",Sally Potter,17609,$5.29M,Rain,Autumn
1094,An Unfinished Life,"Drama, Family, Romance",7.0,"Desperate to provide care for her daughter, down-on-her-luck Jean moves in with her father in-law from whom she is estranged. Through time, they learn to forgive each other and heal old wounds.",Lasse Hallström,32131,$8.59M,Rain,Spring
1095,McCabe & Mrs. Miller,"Drama, Western",7.6,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",Robert Altman,26298,$8.20M,Rain,Autumn
1096,Ask-i Memnu,"Drama, Romance",7.6,"Adnan is a reputable, wealthy businessman whose wife passed away eleven years before.He was left with two young children and devoted his life entirely to their care, as well as bringing up ...                See full summary »",Beren Saat,14039,0,Rain,Autumn
1097,Lock Up,"Action, Crime, Drama",6.4,"With only six months left of his sentence, inmate Frank Leone is transferred from a minimum security prison to a maximum security prison by a vindictive warden.",John Flynn,44623,$22.10M,Rain,Autumn
1098,Five Days,"Crime, Drama, Mystery",6.6,A five-part mini-series that revolves around the disappearance of a young mother in a quiet British suburb and the circumstances that leave her children abandoned far from home.,Suranne Jones,3016,0,Rain,Autumn
1099,Ôkami kodomo no Ame to Yuki,"Animation, Drama, Family",8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,46801,0,Rain,Autumn
1100,First Kill,"Action, Thriller",5.0,A Wall Street broker is forced to evade a police chief investigating a bank robbery as he attempts to recover the stolen money in exchange for his son's life.,Steven C. Miller,12057,0,Rain,Autumn
1101,Marmaduke,"Comedy, Family",4.3,"A suburban family moves to a new neighborhood with their large, yet lovable Great Dane, who has a tendency to wreak havoc in his own oblivious way.",Tom Dey,16487,$33.64M,Rain,Spring
1102,Nostalgia,Drama,8.0,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Andrei Tarkovsky,28368,$0.01M,Rain,Spring
1103,Mar adentro,"Biography, Drama",8.0,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.",Alejandro Amenábar,83319,$2.09M,Rain,Autumn
